GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpAchatProject,com.esprit.examen.services,ReglementServiceImpl,38,0,0,0,9,0,6,0,6,0
tpAchatProject,com.esprit.examen.services,SecteurActiviteServiceImpl,37,0,0,0,10,0,6,0,6,0
tpAchatProject,com.esprit.examen.services,FactureServiceImpl,215,0,4,0,43,0,12,0,10,0
tpAchatProject,com.esprit.examen.services,FournisseurServiceImpl,119,0,2,0,28,0,10,0,9,0
tpAchatProject,com.esprit.examen.services,CategorieProduitServiceImpl,36,0,0,0,10,0,6,0,6,0
tpAchatProject,com.esprit.examen.services,OperateurServiceImpl,37,0,0,0,10,0,6,0,6,0
tpAchatProject,com.esprit.examen.services,ProduitServiceImpl,97,0,2,0,20,0,9,0,8,0
tpAchatProject,com.esprit.examen.services,StockServiceImpl,174,0,4,0,35,0,10,0,8,0
tpAchatProject,com.esprit.examen.controllers,StockRestController,31,0,0,0,9,0,6,0,6,0
tpAchatProject,com.esprit.examen.controllers,SecteurActiviteController,31,0,0,0,9,0,6,0,6,0
tpAchatProject,com.esprit.examen.controllers,OperateurController,31,0,0,0,9,0,6,0,6,0
tpAchatProject,com.esprit.examen.controllers,FournisseurRestController,37,0,0,0,11,0,7,0,7,0
tpAchatProject,com.esprit.examen.controllers,FactureRestController,46,0,0,0,14,0,8,0,8,0
tpAchatProject,com.esprit.examen.controllers,ProduitRestController,37,0,0,0,11,0,7,0,7,0
tpAchatProject,com.esprit.examen.controllers,CategorieProduitController,31,0,0,0,9,0,6,0,6,0
tpAchatProject,com.esprit.examen.controllers,ReglementRestController,35,0,0,0,10,0,6,0,6,0
tpAchatProject,com.esprit.examen,TpAchatProjectApplication,8,0,0,0,3,0,2,0,2,0
tpAchatProject,com.esprit.examen,SpringFoxSwaggerConfig,80,0,0,0,22,0,6,0,6,0
tpAchatProject,com.esprit.examen.entities,Fournisseur,73,3,0,0,9,1,15,1,15,1
tpAchatProject,com.esprit.examen.entities,Reglement,63,3,0,0,8,1,13,1,13,1
tpAchatProject,com.esprit.examen.entities,Facture,93,3,0,0,11,1,19,1,19,1
tpAchatProject,com.esprit.examen.entities,Stock,65,3,0,0,12,1,12,1,12,1
tpAchatProject,com.esprit.examen.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
tpAchatProject,com.esprit.examen.entities,Produit.ProduitBuilder,82,40,0,0,0,1,7,5,7,5
tpAchatProject,com.esprit.examen.entities,CategorieFournisseur,0,24,0,0,0,2,0,1,0,1
tpAchatProject,com.esprit.examen.entities,Produit,63,37,0,0,10,3,18,3,18,3
tpAchatProject,com.esprit.examen.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
tpAchatProject,com.esprit.examen.entities,CategorieProduit,43,3,0,0,6,1,9,1,9,1
tpAchatProject,com.esprit.examen.entities,Operateur,53,3,0,0,7,1,11,1,11,1
tpAchatProject,com.esprit.examen.entities,SecteurActivite,43,3,0,0,6,1,9,1,9,1
